"","blockNumber","buyer","category","createdAt","nftAddress","status","parcel_x_coordinate","parcel_y_coordinate","value_usd","zone","createdAtDay","txHash","price_mana","nft_image","nft_owner_address","nft_owner_mana"
"37","12603447","0xa01424b7540adbb792375dcf97b733a5d68ad347","parcel",2021-06-09 17:59:39,"0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d","sold",68,-17,3757.3588,"12",2021-06-09,"0x34b2a6af0441b0475f445a93ace03172fcff75b369b46ae66984763954dcf8db",5200,"https://api.decentraland.org/v1/parcels/68/-17/map.png","0xf179344bbec75ad4522bd6b2c780b2e13b3469a2","0"
"38","12603850","0x5ce213893956bbf4249a7f8a079331280065eec6","parcel",2021-06-09 17:58:26,"0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d","sold",131,19,3034.7898,"8",2021-06-09,"0x5cc22d9360260f5a58e77ad2e4e312fa0d755eb082327dde5a309f7b5b37fb9f",4200,"https://api.decentraland.org/v1/parcels/131/19/map.png","0xa9bd01b23dcc97851cb617cbeb89612b72ae9d15","0"
"39","12621904","0x5e3035b23313182903b1aab1c8a5fbc99bcaf7d3","parcel",2021-06-09 11:08:29,"0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d","sold",60,-140,3331.50816,"15",2021-06-09,"0x09f32fb38eabfaf62daabfa3588c28e195173ec7b0495f95b965c08e13311062",4800,"https://api.decentraland.org/v1/parcels/60/-140/map.png","0x5e3035b23313182903b1aab1c8a5fbc99bcaf7d3","0"
"40","12599414","0xd608bc8b87d8ab9b409c8409800487a1d8b14f6d","parcel",2021-06-09 02:48:34,"0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d","sold",55,-119,2677.1268,"15",2021-06-09,"0x55c2d99e1334a0baf65e5c9d5bd9247542f522e071eb3135339246dec0a72b92",4000,"https://api.decentraland.org/v1/parcels/55/-119/map.png","0xd608bc8b87d8ab9b409c8409800487a1d8b14f6d","0"
"41","12599384","0xd608bc8b87d8ab9b409c8409800487a1d8b14f6d","parcel",2021-06-09 01:49:47,"0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d","sold",-44,17,3406.5400557,"4",2021-06-09,"0xd8cf0f1701028589e497ac75fc77de2aa8a58febac3f449a186e979a5172cca7",4999,"https://api.decentraland.org/v1/parcels/-44/17/map.png","0xd608bc8b87d8ab9b409c8409800487a1d8b14f6d","0"
"42","12599359","0x4e2e5dec687cda69d08dde1cc34603750f09c18f","parcel",2021-06-08 20:44:17,"0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d","sold",-85,-103,3083.512666,"18",2021-06-08,"0xaee4d8c9107b5560542bb4e42c0cc926771c2973b8efde8cb75bc9a5b91eaf77",4420,"https://api.decentraland.org/v1/parcels/-85/-103/map.png","0x4e2e5dec687cda69d08dde1cc34603750f09c18f","0"
"43","12592430","0x7c04786f04c522ca664bb8b6804e0d182eec505f","parcel",2021-06-07 14:09:55,"0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d","sold",18,-77,6530.339007,"10",2021-06-07,"0xc7925f240d7b2d310d77af73fabcc287dd17020753349e8f3d192a24166b1ec7",7998,"https://api.decentraland.org/v1/parcels/18/-77/map.png","0x0b072e539a47f6685f40d72da9093208115ef138","0"
"44","12598336","0x349b944b54c68040863c268d0d4f336328688abc","parcel",2021-06-07 12:47:06,"0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d","sold",51,-78,4113.5186317,"10",2021-06-07,"0xf9f00000325f8dd6408a481b262a9c6f5badb2cef7d222885f5202957f4251fc",4999,"https://api.decentraland.org/v1/parcels/51/-78/map.png","0x349b944b54c68040863c268d0d4f336328688abc","0"
"45","12589991","0x2c2359b13775505e21095b4f4e97b62361e2b03a","parcel",2021-06-07 09:32:35,"0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d","sold",-110,-38,5290.727,"11",2021-06-07,"0xe7da01c82d7a044257fcf3b5e61a716e3996b2d35a2662afcf6ce8d931a4f680",6500,"https://api.decentraland.org/v1/parcels/-110/-38/map.png","0x2c2359b13775505e21095b4f4e97b62361e2b03a","0"
"46","12599299","0xbb11472f288cdd49ad0bbada8344bb9151d900cc","parcel",2021-06-07 08:21:42,"0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d","sold",-17,-22,4079.048,"2",2021-06-07,"0xf2d06e20d1df497d40be56f70361636c6125b078e1752fcbc7576a763d8ea62a",5000,"https://api.decentraland.org/v1/parcels/-17/-22/map.png","0xbb11472f288cdd49ad0bbada8344bb9151d900cc","0"
"47","12593872","0x886d841ca43d300fa0ba1e6f33f21b2e174bf409","parcel",2021-06-07 08:16:07,"0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d","sold",-75,-105,3792.6988304,"18",2021-06-07,"0x399a85850d3fb1a01578a5b007ae662096e88ead7332ae2d132449ab86b1fd52",4649,"https://api.decentraland.org/v1/parcels/-75/-105/map.png","0x886d841ca43d300fa0ba1e6f33f21b2e174bf409","0"
"48","12595915","0x89ae6eb6ed9397f4501ccb6e9e7d982d8babe21b","parcel",2021-06-07 01:12:30,"0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d","sold",-78,-34,4127.5908167,"11",2021-06-07,"0x1f7a365a10f10ea4feb8b4fcee5037ff5e44b92c1fa9b61374368d1817f1b029",4999,"https://api.decentraland.org/v1/parcels/-78/-34/map.png","0x89ae6eb6ed9397f4501ccb6e9e7d982d8babe21b","0"
"49","12635600","0x8721aa89f6dd2fd0a4defd2c06105b2f1124e47a","parcel",2021-06-06 19:17:02,"0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d","sold",67,-48,7945.4186,"outisde main range",2021-06-06,"0xeb8b87664b6a9aa01e8fb352c1b1e26aac178f9484206139b5e59451dc3e5df2",9800,"https://api.decentraland.org/v1/parcels/67/-48/map.png","0x8721aa89f6dd2fd0a4defd2c06105b2f1124e47a","0"
"50","12604211","0x2211ea6d99266508920b54c7fc56422672b6bcbc","parcel",2021-06-06 14:45:35,"0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d","sold",-34,28,6065.004,"4",2021-06-06,"0x7b344f0dec4ab8cd9d3c3bd3cbe04496cd76874391ed909efebae8329736f3ac",7500,"https://api.decentraland.org/v1/parcels/-34/28/map.png","0x2211ea6d99266508920b54c7fc56422672b6bcbc","0"
"51","12586194","0x79792998b4255e745c45fc83f0a965e1092895ba","parcel",2021-06-06 01:35:06,"0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d","sold",37,86,4797.078048,"6",2021-06-06,"0x7b27c0bf62b375624323efdbeef02e9c460c63d3a2b2396326f359749c316264",5985,"https://api.decentraland.org/v1/parcels/37/86/map.png","0x79792998b4255e745c45fc83f0a965e1092895ba","0"
"52","12595113","0xfbbf7be8652efe1d0dcbf85b9a964063542c3b75","parcel",2021-06-06 01:09:42,"0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d","sold",4,-45,4801.085632,"3",2021-06-06,"0xc17e9e72001b43d911b529b63b03b95f3efacb6fd1e21d8e2f8589248c6bf692",5990,"https://api.decentraland.org/v1/parcels/4/-45/map.png","0xfbbf7be8652efe1d0dcbf85b9a964063542c3b75","0"
"53","12599574","0xad0f3fb0cf6ed53f27e9b8844a062217f248d6fc","parcel",2021-06-06 00:06:44,"0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d","sold",46,48,4877.4636,"1",2021-06-06,"0xe52ca7ff4c3f3651bdb9f941451ad207ce2775d7f70b957025c7a51e258e5953",6000,"https://api.decentraland.org/v1/parcels/46/48/map.png","0xad0f3fb0cf6ed53f27e9b8844a062217f248d6fc","0"
"54","12585410","0xd38bb856cecbbd2054d0476d37223d0fd0797782","parcel",2021-06-05 08:57:13,"0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d","sold",-58,33,4265.1923649,"5",2021-06-05,"0x7c4ed405276fa7bb985ef9f8d0addb2ccbe182762a34b1c99c2a03d3e803856a",4899,"https://api.decentraland.org/v1/parcels/-58/33/map.png","0xd38bb856cecbbd2054d0476d37223d0fd0797782","0"
"55","12577977","0xf179344bbec75ad4522bd6b2c780b2e13b3469a2","parcel",2021-06-05 08:57:00,"0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d","sold",37,86,4340.0661235,"6",2021-06-05,"0xf07555ecbeefc375f3064d156235866b4efff34146598b5ae27f109822883b0a",4985,"https://api.decentraland.org/v1/parcels/37/86/map.png","0xf179344bbec75ad4522bd6b2c780b2e13b3469a2","0"
"56","12576597","0x6979c9085d31e3848f849b183d6f94b24d53233a","parcel",2021-06-05 08:56:51,"0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d","sold",39,85,4336.5836231,"6",2021-06-05,"0x6ea32fbb909597165f8178ef6d8aa7adb1812cb6c2dabb2f4f6159c42602d51f",4981,"https://api.decentraland.org/v1/parcels/39/85/map.png","0x6979c9085d31e3848f849b183d6f94b24d53233a","0"
"57","12582555","0xb51423c14a448f81563cebd54ab86719e5c46510","parcel",2021-06-05 08:54:09,"0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d","sold",39,-69,4335.712998,"10",2021-06-05,"0xf06a4a915a4b5717acb6d3403e8450f98bdf7c03037d206e22e8a401c62976aa",4980,"https://api.decentraland.org/v1/parcels/39/-69/map.png","0xb51423c14a448f81563cebd54ab86719e5c46510","0"
"58","12582124","0x97a8b0735bccdfb2d72c3cc63565b640badd82d8","parcel",2021-06-05 05:23:58,"0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d","sold",-8,-52,6759.715665,"10",2021-06-05,"0x5b8079158b83ea0899dfdc821f8269ee0bd919916c98cd666ae0f79054570e8d",7950,"https://api.decentraland.org/v1/parcels/-8/-52/map.png","0x97a8b0735bccdfb2d72c3cc63565b640badd82d8","0"
"59","12574267","0x466b5815aff1452564fa62f66fcc944d8c76a7d9","parcel",2021-06-05 00:11:19,"0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d","sold",135,-3,4043.812171,"12",2021-06-05,"0xde6407d661f3ccc009823efc2804254d02acba03dc6fbde9105cbee7b33cd5db",4970,"https://api.decentraland.org/v1/parcels/135/-3/map.png","0x466b5815aff1452564fa62f66fcc944d8c76a7d9","0"
"60","12604618","0xca71d8703373b1afe0c3ad807225fd1fedbfc9d3","parcel",2021-06-03 21:23:32,"0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d","sold",-60,-30,4326.867,"11",2021-06-03,"0x0969d574aefaa7cc7346b2257a6d464ef1cc87d78ae968c24f9a3a3ac2684033",5000,"https://api.decentraland.org/v1/parcels/-60/-30/map.png","0xca71d8703373b1afe0c3ad807225fd1fedbfc9d3","0"
"61","12563802","0xfc5e95acd96707c7e41fcfb81114e5ec100e583d","parcel",2021-06-03 14:45:26,"0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d","sold",54,-125,4216.33191,"15",2021-06-03,"0x632a35533f66f7c63f5b52389d4087a11c0c73db053c73f4ad90018ffcd3fd5b",4900,"https://api.decentraland.org/v1/parcels/54/-125/map.png","0xfc5e95acd96707c7e41fcfb81114e5ec100e583d","0"
"62","12589396","0xf179344bbec75ad4522bd6b2c780b2e13b3469a2","parcel",2021-06-03 02:11:30,"0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d","sold",18,-77,5415.95664,"10",2021-06-03,"0x92b7cef7a637e4266efa5adc04cbdab530b0ec12980a2d374d6d466494c188e3",6450,"https://api.decentraland.org/v1/parcels/18/-77/map.png","0xf179344bbec75ad4522bd6b2c780b2e13b3469a2","0"
